i,j,proj,proj_prime,defect,sign
38,30,2,0,1,-1
31,35,0,0,0,-1
35,31,0,2,2,-1
31,39,2,2,0,-1
39,31,0,0,0,-1
32,36,0,0,0,-1
36,32,0,0,0,-1
32,37,0,0,0,-1
37,32,0,0,0,-1
33,34,0,0,0,-1
34,33,2,0,1,-1
33,38,0,0,0,-1
38,33,2,0,1,-1
34,38,0,0,0,-1
38,34,0,0,0,-1
35,39,2,0,1,-1
39,35,0,0,0,-1
36,37,0,0,0,-1
37,36,0,0,0,-1
