edgepair_id,gen,edgepair_image,flip_Z2,rot_Z3
97,0,23,1,0
97,1,94,0,0
97,2,98,0,0
97,3,106,0,0
97,4,50,1,0
97,5,101,0,0
97,6,76,1,0
97,7,26,0,0
97,8,73,0,0
97,9,73,0,0
98,0,118,0,0
98,1,95,0,0
98,2,96,0,0
98,3,107,0,0
98,4,111,1,0
98,5,99,0,0
98,6,29,1,0
98,7,29,0,0
98,8,74,0,0
98,9,74,0,0
99,0,28,1,0
99,1,96,0,0
99,2,100,0,0
99,3,108,0,0
99,4,53,0,0
99,5,94,0,0
99,6,81,0,0
99,7,22,0,0
99,8,69,0,0
99,9,69,0,0
100,0,111,1,0
100,1,97,0,0
100,2,101,0,0
100,3,109,0,0
100,4,116,0,0
100,5,95,0,0
100,6,25,1,0
100,7,25,0,0
100,8,70,0,0
100,9,70,0,0
101,0,82,0,0
101,1,98,0,0
101,2,99,0,0
101,3,110,0,0
101,4,71,0,0
101,5,93,0,0
101,6,113,1,0
101,7,28,0,0
101,8,71,0,0
101,9,71,0,0
102,0,98,1,0
102,1,90,0,0
102,2,103,0,0
102,3,111,0,0
102,4,100,1,0
102,5,79,0,0
102,6,23,0,0
102,7,117,0,0
102,8,75,0,0
102,9,75,0,0
103,0,87,1,0
103,1,91,0,0
103,2,104,0,0
103,3,112,0,0
103,4,81,1,0
103,5,80,0,0
103,6,97,1,0
103,7,118,0,0
103,8,76,0,0
103,9,76,0,0
104,0,26,0,0
104,1,92,0,0
104,2,102,0,0
104,3,113,0,0
104,4,65,1,0
104,5,78,0,0
104,6,89,1,0
104,7,119,0,0
104,8,77,0,0
104,9,77,0,0
105,0,86,1,0
105,1,87,0,0
105,2,106,0,0
105,3,114,0,0
105,4,76,1,0
105,5,81,0,0
105,6,99,0,0
105,7,111,0,0
105,8,81,0,0
105,9,81,0,0
106,0,22,1,0
106,1,88,0,0
106,2,107,0,0
106,3,115,0,0
106,4,59,1,0
106,5,82,0,0
106,6,85,1,0
106,7,112,0,0
106,8,82,0,0
106,9,82,0,0
