u,v,gen,exp,qid_u,qid_v,twin_u,twin_v,x_u,y_u,z_u,x_v,y_v,z_v,core_intersection_u_v
36,16,g8,0,22,6,0,0,1,0,2,2,2,1,3
36,16,g9,0,22,6,0,0,1,0,2,2,2,1,3
37,12,g2,0,18,11,1,1,0,2,2,0,2,1,3
37,35,g3,1,18,22,1,1,0,2,2,1,0,2,3
37,48,g5,2,18,9,1,0,0,2,2,2,0,2,1
37,51,g8,0,18,8,1,0,0,2,2,0,0,1,2
37,51,g9,0,18,8,1,0,0,2,2,0,0,1,2
38,14,g2,0,1,2,1,1,1,1,0,1,1,2,3
38,51,g3,0,1,8,1,0,1,1,0,0,0,1,3
38,18,g5,0,1,18,1,0,1,1,0,0,2,2,1
38,17,g8,0,1,10,1,1,1,1,0,2,1,1,2
38,17,g9,0,1,10,1,1,1,1,0,2,1,1,2
39,49,g2,0,17,10,0,0,2,1,2,2,1,1,3
39,8,g3,0,17,23,0,0,2,1,2,0,2,0,3
39,52,g5,0,17,26,0,1,2,1,2,1,2,0,1
39,19,g8,0,17,4,0,0,2,1,2,1,1,1,3
39,19,g9,0,17,4,0,0,2,1,2,1,1,1,3
40,46,g2,2,14,25,0,1,0,1,2,0,1,1,3
40,27,g3,1,14,15,0,0,0,1,2,0,1,0,3
40,6,g5,0,14,7,0,1,0,1,2,2,2,2,2
40,42,g8,0,14,14,0,1,0,1,2,0,1,2,6
40,42,g9,0,14,14,0,1,0,1,2,0,1,2,6
41,50,g2,0,7,6,0,1,2,2,2,2,2,1,3
41,24,g3,2,7,4,0,1,2,2,2,1,1,1,3
41,21,g5,0,7,12,0,0,2,2,2,1,0,0,2
41,20,g8,0,7,12,0,1,2,2,2,1,0,0,2
41,20,g9,0,7,12,0,1,2,2,2,1,0,0,2
42,47,g2,2,14,25,1,0,0,1,2,0,1,1,3
42,29,g3,1,14,15,1,1,0,1,2,0,1,0,3
42,41,g5,0,14,7,1,0,0,1,2,2,2,2,2
42,40,g8,0,14,14,1,0,0,1,2,0,1,2,6
42,40,g9,0,14,14,1,0,0,1,2,0,1,2,6
43,48,g2,2,19,9,0,0,2,0,0,2,0,2,3
43,30,g3,1,19,21,0,0,2,0,0,2,0,1,3
43,19,g5,2,19,4,0,0,2,0,0,1,1,1,1
43,52,g8,2,19,26,0,1,2,0,0,1,2,0,3
43,52,g9,2,19,26,0,1,2,0,0,1,2,0,3
