cycle_id,cycle_len,pos,root,image
29,6,2,"(1, 1, 1, 1, 1, 1, 1, 0)","(-1, -2, -2, -3, -2, -1, -1, 0)"
29,6,3,"(-1, -2, -2, -3, -2, -1, -1, 0)","(-1, -1, -1, -2, -2, -1, 0, 0)"
29,6,4,"(-1, -1, -1, -2, -2, -1, 0, 0)","(0, 1, 0, 1, 1, 0, 0, 0)"
29,6,5,"(0, 1, 0, 1, 1, 0, 0, 0)","(-1, 0, 0, 0, 0, 0, 0, 0)"
30,6,0,"(-2, -2, -3, -4, -4, -3, -2, -1)","(0, 0, 1, 1, 1, 1, 0, 0)"
30,6,1,"(0, 0, 1, 1, 1, 1, 0, 0)","(0, 0, 0, 1, 1, 0, 0, 0)"
30,6,2,"(0, 0, 0, 1, 1, 0, 0, 0)","(1, 1, 1, 2, 2, 2, 2, 1)"
30,6,3,"(1, 1, 1, 2, 2, 2, 2, 1)","(0, 1, 0, 1, 0, 0, 0, 0)"
30,6,4,"(0, 1, 0, 1, 0, 0, 0, 0)","(1, 1, 2, 2, 1, 1, 1, 1)"
30,6,5,"(1, 1, 2, 2, 1, 1, 1, 1)","(-2, -2, -3, -4, -4, -3, -2, -1)"
31,6,0,"(-2, -2, -3, -5, -4, -3, -2, -1)","(-1, 0, -1, -1, 0, 0, 0, 0)"
31,6,1,"(-1, 0, -1, -1, 0, 0, 0, 0)","(-1, -1, -2, -2, -2, -2, -1, 0)"
31,6,2,"(-1, -1, -2, -2, -2, -2, -1, 0)","(0, 0, 0, 1, 1, 1, 1, 0)"
31,6,3,"(0, 0, 0, 1, 1, 1, 1, 0)","(1, 1, 2, 3, 2, 1, 1, 0)"
31,6,4,"(1, 1, 2, 3, 2, 1, 1, 0)","(1, 1, 2, 2, 2, 2, 2, 1)"
31,6,5,"(1, 1, 2, 2, 2, 2, 2, 1)","(-2, -2, -3, -5, -4, -3, -2, -1)"
32,6,0,"(-2, -3, -4, -5, -4, -3, -2, -1)","(1, 1, 2, 3, 3, 2, 2, 1)"
32,6,1,"(1, 1, 2, 3, 3, 2, 2, 1)","(-1, -1, -1, -2, -1, 0, 0, 0)"
