u,qid,twin_bit,gen,cocycle_Z3_exp,orient_index,target_qid,target_twin,v,sheet_id,x,y,z,tx,ty,tz,L11,L12,L21,L22,s_zshift_x,s_zshift_y,q_xy,silent_index,block_guess
13,22,0,g3,0,1,25,0,32,2,2,0,0,0,2,1,1,0,2,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 1, ""2,1"": 1, ""2,2"": 1}",8,2
13,22,0,g5,0,2,0,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",8,2
13,22,0,g8,0,3,9,0,15,2,2,0,0,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",8,2
13,22,0,g9,0,4,9,0,15,2,2,0,0,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",8,2
14,2,1,g2,0,5,4,1,24,0,0,1,2,0,0,2,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",5,30
14,2,1,g3,0,6,0,1,31,0,0,1,2,0,2,1,1,0,2,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 1, ""2,1"": 1, ""2,2"": 1}",5,30
14,2,1,g5,0,7,19,0,4,0,0,1,2,1,0,0,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",5,30
14,2,1,g8,0,8,12,0,3,0,0,1,2,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",5,30
14,2,1,g9,0,9,12,0,3,0,0,1,2,1,1,2,2,0,0,2,2,2,"{""0,0"": 0, ""0,1"": 2, ""0,2"": 1, ""1,0"": 2, ""1,1"": 1, ""1,2"": 0, ""2,0"": 1, ""2,1"": 0, ""2,2"": 2}",5,30
15,9,0,g2,0,0,23,0,25,1,2,1,2,0,0,2,1,0,0,1,0,0,"{""0,0"": 0, ""0,1"": 0, ""0,2"": 0, ""1,0"": 0, ""1,1"": 0, ""1,2"": 0, ""2,0"": 0, ""2,1"": 0, ""2,2"": 0}",2,13
