edge_index,word_len,word,v_i,v_j,root_index,root_coords,we6_orbit_id,we6_orbit_size
221,4,"(0, 5, 6, 5)",27,37,93,"(0, 0, 0, 0, 2, 0, -2, 0)",6,27
112,4,"(0, 5, 7, 1)",10,36,128,"(1, -1, -1, -1, -1, 1, -1, -1)",6,27
115,4,"(0, 5, 7, 3)",11,18,62,"(0, 0, -2, 0, 0, 2, 0, 0)",4,27
163,4,"(0, 5, 7, 4)",17,29,157,"(-1, 1, -1, 1, 1, -1, 1, -1)",1,27
110,4,"(0, 5, 7, 5)",10,30,122,"(-1, -1, 1, -1, 1, -1, -1, -1)",0,27
198,4,"(0, 7, 4, 1)",22,36,209,"(1, 1, -1, -1, -1, -1, 1, 1)",5,27
165,4,"(0, 7, 4, 4)",17,31,161,"(1, 1, -1, -1, -1, 1, 1, -1)",3,72
228,4,"(0, 7, 4, 5)",30,31,126,"(1, -1, 1, 1, 1, -1, -1, -1)",0,27
199,4,"(0, 7, 5, 4)",22,38,210,"(1, -1, 1, -1, -1, -1, 1, 1)",5,27
123,4,"(1, 1, 4, 6)",12,15,40,"(0, 2, 0, 0, 0, 2, 0, 0)",4,27
111,4,"(1, 1, 4, 7)",10,33,124,"(-1, -1, -1, 1, 1, -1, -1, -1)",0,27
157,4,"(1, 1, 5, 0)",16,27,150,"(1, -1, 1, 1, -1, -1, 1, -1)",1,27
136,4,"(1, 1, 5, 6)",13,24,60,"(0, 0, 2, 0, 0, 2, 0, 0)",4,27
99,4,"(1, 1, 6, 5)",9,22,113,"(1, 1, -1, -1, -1, -1, -1, -1)",0,27
96,4,"(1, 4, 1, 1)",9,14,28,"(0, 2, 2, 0, 0, 0, 0, 0)",3,72
129,4,"(1, 4, 1, 3)",12,31,82,"(0, 0, 0, -2, 0, 0, 2, 0)",5,27
71,4,"(1, 4, 1, 4)",6,30,160,"(-1, -1, -1, -1, -1, 1, 1, -1)",3,72
102,4,"(1, 4, 1, 6)",9,33,116,"(1, -1, -1, 1, -1, -1, -1, -1)",0,27
89,4,"(1, 4, 1, 8)",8,24,71,"(0, 0, -2, 0, 0, 0, 0, -2)",0,27
86,4,"(1, 4, 4, 6)",8,14,16,"(2, 0, 0, 0, 0, 2, 0, 0)",4,27
82,4,"(1, 4, 4, 7)",7,32,27,"(-2, 0, 0, 0, 0, 0, 0, -2)",0,27
149,4,"(1, 4, 6, 4)",15,30,203,"(1, 1, 1, -1, 1, 1, -1, 1)",4,27
90,4,"(1, 4, 6, 5)",8,27,83,"(0, 0, 0, -2, 0, 0, -2, 0)",6,27
225,4,"(1, 4, 7, 4)",29,32,119,"(1, 1, 1, 1, -1, -1, -1, -1)",0,27
177,4,"(1, 5, 0, 0)",19,29,182,"(1, -1, 1, 1, -1, -1, -1, 1)",3,72
181,4,"(1, 5, 0, 2)",19,39,187,"(-1, 1, 1, -1, 1, -1, -1, 1)",3,72
159,4,"(1, 5, 0, 3)",16,35,153,"(1, 1, -1, -1, 1, -1, 1, -1)",1,27
156,4,"(1, 5, 0, 8)",16,26,149,"(1, 1, -1, 1, -1, -1, 1, -1)",1,27
138,4,"(1, 5, 3, 6)",13,32,76,"(0, 0, 0, 2, 0, 2, 0, 0)",4,27
92,4,"(1, 6, 5, 5)",8,31,95,"(0, 0, 0, 0, -2, 0, -2, 0)",6,27
205,4,"(4, 1, 1, 4)",24,26,217,"(-1, 1, -1, -1, 1, -1, 1, 1)",5,27
95,4,"(4, 1, 1, 5)",9,12,107,"(0, 0, 0, 0, 0, -2, 0, -2)",9,1
69,4,"(4, 1, 1, 6)",6,24,148,"(-1, -1, -1, 1, -1, -1, 1, -1)",1,27
206,4,"(4, 1, 3, 4)",24,28,218,"(-1, -1, 1, -1, 1, -1, 1, 1)",5,27
